"School","Gender","Ethnicity","Type of Homelessness","Count of Students","year"
"Parkridge Elementary","M","Black or African American","Temporarily Doubled Up",5,"2012-2013"
"Parkridge Elementary","M","Hispanic","Temporarily Doubled Up",74,"2012-2013"
"Parkridge Elementary","M","Hispanic","Temporary Shelters",5,"2012-2013"
"Parkridge Elementary","M","White","Temporarily Doubled Up",3,"2012-2013"
"Parkridge Elementary","M","White","Temporary Shelters",1,"2012-2013"
"Prado View Elem","F","Asian-Chinese","Temporarily Doubled Up",3,"2012-2013"
"Prado View Elem","F","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"Prado View Elem","F","Black or African American","Temporarily Doubled Up",5,"2012-2013"
"Prado View Elem","F","Filipino","Temporarily Doubled Up",4,"2012-2013"
"Prado View Elem","F","Hispanic","Temporarily Doubled Up",27,"2012-2013"
"Prado View Elem","F","Pac Islander-Other","Temporarily Doubled Up",1,"2012-2013"
"Prado View Elem","F","White","Temporarily Doubled Up",16,"2012-2013"
"Prado View Elem","M","Asian-Korean","Temporarily Doubled Up",3,"2012-2013"
"Prado View Elem","M","Asian-Other","Temporarily Doubled Up",2,"2012-2013"
"Prado View Elem","M","Black or African American","Temporarily Doubled Up",3,"2012-2013"
"Prado View Elem","M","Black or African American","Temporarily Unsheltered",1,"2012-2013"
"Prado View Elem","M","Filipino","Temporarily Doubled Up",2,"2012-2013"
"Prado View Elem","M","Hispanic","Temporarily Doubled Up",31,"2012-2013"
"Prado View Elem","M","Pac Islander-Guamanian","Temporarily Doubled Up",1,"2012-2013"
"Prado View Elem","M","White","Temporarily Doubled Up",17,"2012-2013"
"Raney Intermediate School","F","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"Raney Intermediate School","F","Black or African American","Temporarily Doubled Up",5,"2012-2013"
"Raney Intermediate School","F","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Raney Intermediate School","F","Hispanic","Hotels/motels",1,"2012-2013"
"Raney Intermediate School","F","Hispanic","Temporarily Doubled Up",32,"2012-2013"
"Raney Intermediate School","F","Hispanic","Temporary Shelters",1,"2012-2013"
"Raney Intermediate School","F","White","Hotels/motels",1,"2012-2013"
"Raney Intermediate School","F","White","Temporarily Doubled Up",6,"2012-2013"
"Raney Intermediate School","M","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"Raney Intermediate School","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2012-2013"
"Raney Intermediate School","M","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"Raney Intermediate School","M","Hispanic","Temporarily Doubled Up",40,"2012-2013"
"Raney Intermediate School","M","Pac Islander-Other","Temporarily Doubled Up",1,"2012-2013"
"Raney Intermediate School","M","White","Temporarily Doubled Up",6,"2012-2013"
"Raney Intermediate School","M","White","Temporary Shelters",1,"2012-2013"
"River Heights Int.","F","Asian-Cambodian","Temporarily Doubled Up",1,"2012-2013"
"River Heights Int.","F","Asian-Chinese","Temporarily Doubled Up",1,"2012-2013"
"River Heights Int.","F","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"River Heights Int.","F","Black or African American","Temporarily Doubled Up",2,"2012-2013"
"River Heights Int.","F","Filipino","Temporarily Doubled Up",1,"2012-2013"
"River Heights Int.","F","Hispanic","Hotels/motels",1,"2012-2013"
"River Heights Int.","F","Hispanic","Temporarily Doubled Up",15,"2012-2013"
"River Heights Int.","F","White","Temporarily Doubled Up",2,"2012-2013"
"River Heights Int.","F","White","Temporarily Unsheltered",1,"2012-2013"
"River Heights Int.","M","Asian-Chinese","Temporarily Doubled Up",1,"2012-2013"
"River Heights Int.","M","Black or African American","Temporarily Doubled Up",4,"2012-2013"
"River Heights Int.","M","Filipino","Temporarily Doubled Up",1,"2012-2013"
"River Heights Int.","M","Hispanic","Temporarily Doubled Up",14,"2012-2013"
"Riverview Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2012-2013"
"Riverview Elem","F","Black or African American","Temporarily Doubled Up",2,"2012-2013"
"Riverview Elem","F","Black or African American","Temporary Shelters",1,"2012-2013"
"Riverview Elem","F","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Riverview Elem","F","Hispanic","Temporarily Doubled Up",30,"2012-2013"
"Riverview Elem","F","White","Temporarily Doubled Up",28,"2012-2013"
"Riverview Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2012-2013"
"Riverview Elem","M","Asian-Chinese","Temporarily Doubled Up",1,"2012-2013"
"Riverview Elem","M","Black or African American","Temporarily Doubled Up",3,"2012-2013"
"Riverview Elem","M","Hispanic","Hotels/motels",1,"2012-2013"
"Riverview Elem","M","Hispanic","Temporarily Doubled Up",65,"2012-2013"
"Riverview Elem","M","Pac Islander -Samoan","Temporarily Doubled Up",1,"2012-2013"
"Riverview Elem","M","White","Hotels/motels",1,"2012-2013"
"Riverview Elem","M","White","Temporarily Doubled Up",31,"2012-2013"
"Riverview Elem","M","White","Temporary Shelters",1,"2012-2013"
"Ronald Reagan Elementary","F","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"Ronald Reagan Elementary","F","Hispanic","Temporarily Doubled Up",2,"2012-2013"
"Ronald Reagan Elementary","F","White","Temporarily Doubled Up",1,"2012-2013"
"Ronald Reagan Elementary","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2012-2013"
"Ronald Reagan Elementary","M","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"Ronald Reagan Elementary","M","Hispanic","Temporarily Doubled Up",3,"2012-2013"
"Ronald Reagan Elementary","M","White","Temporarily Doubled Up",1,"2012-2013"
"Rosa Parks Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2012-2013"
"Rosa Parks Elem","F","Asian-Chinese","Temporarily Doubled Up",7,"2012-2013"
"Rosa Parks Elem","F","Asian-Japanese","Temporarily Doubled Up",1,"2012-2013"
"Rosa Parks Elem","F","Asian-Laotian","Temporarily Doubled Up",1,"2012-2013"
"Rosa Parks Elem","F","Asian-Other","Temporarily Doubled Up",3,"2012-2013"
"Rosa Parks Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2012-2013"
"Rosa Parks Elem","F","Black or African American","Temporarily Doubled Up",17,"2012-2013"
"Rosa Parks Elem","F","Filipino","Temporarily Doubled Up",3,"2012-2013"
"Rosa Parks Elem","F","Hispanic","Temporarily Doubled Up",45,"2012-2013"
"Rosa Parks Elem","F","White","Temporarily Doubled Up",7,"2012-2013"
"Rosa Parks Elem","M","Asian-Asian Indian","Temporarily Doubled Up",6,"2012-2013"
"Rosa Parks Elem","M","Asian-Chinese","Temporarily Doubled Up",5,"2012-2013"
"Rosa Parks Elem","M","Asian-Other","Temporarily Doubled Up",5,"2012-2013"
"Rosa Parks Elem","M","Asian-Vietnamese","Temporarily Doubled Up",4,"2012-2013"
"Rosa Parks Elem","M","Black or African American","Temporarily Doubled Up",10,"2012-2013"
"Rosa Parks Elem","M","Filipino","Temporarily Doubled Up",3,"2012-2013"
"Rosa Parks Elem","M","Hispanic","Temporarily Doubled Up",54,"2012-2013"
"Rosa Parks Elem","M","Pac Islander -Samoan","Temporarily Doubled Up",1,"2012-2013"
"Rosa Parks Elem","M","White","Temporarily Doubled Up",11,"2012-2013"
"Santiago High","F","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"Santiago High","F","Black or African American","Hotels/motels",1,"2012-2013"
"Santiago High","F","Black or African American","Temporarily Doubled Up",3,"2012-2013"
"Santiago High","F","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Santiago High","F","Hispanic","Temporarily Doubled Up",9,"2012-2013"
"Santiago High","F","White","Temporarily Doubled Up",7,"2012-2013"
"Santiago High","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2012-2013"
"Santiago High","M","Asian-Other","Temporarily Doubled Up",2,"2012-2013"
"Santiago High","M","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"Santiago High","M","Declined to state","Temporarily Doubled Up",1,"2012-2013"
"Santiago High","M","Hispanic","Hotels/motels",1,"2012-2013"
"Santiago High","M","Hispanic","Temporarily Doubled Up",13,"2012-2013"
"Santiago High","M","Hispanic","Temporarily Unsheltered",1,"2012-2013"
"Santiago High","M","White","Temporarily Doubled Up",7,"2012-2013"
"Sierra Vista Elem","F","Hispanic","Temporarily Doubled Up",4,"2012-2013"
"Sierra Vista Elem","F","White","Temporarily Doubled Up",3,"2012-2013"
"Sierra Vista Elem","M","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Sierra Vista Elem","M","Hispanic","Temporarily Doubled Up",9,"2012-2013"
"Sierra Vista Elem","M","White","Temporarily Doubled Up",7,"2012-2013"
"Susan B. Anthony Elem","F","Asian-Asian Indian","Temporarily Doubled Up",2,"2012-2013"
"Susan B. Anthony Elem","F","Asian-Chinese","Temporarily Doubled Up",1,"2012-2013"
"Susan B. Anthony Elem","F","Asian-Japanese","Temporarily Doubled Up",1,"2012-2013"
"Susan B. Anthony Elem","F","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"Susan B. Anthony Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2012-2013"
"Susan B. Anthony Elem","F","Black or African American","Temporarily Doubled Up",7,"2012-2013"
"Susan B. Anthony Elem","F","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Susan B. Anthony Elem","F","Hispanic","Temporarily Doubled Up",28,"2012-2013"
"Susan B. Anthony Elem","F","Pac Islander -Samoan","Temporarily Doubled Up",1,"2012-2013"
"Susan B. Anthony Elem","F","Pac Islander-Hawaiian","Temporarily Doubled Up",2,"2012-2013"
"Susan B. Anthony Elem","F","White","Temporarily Doubled Up",28,"2012-2013"
"Susan B. Anthony Elem","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2012-2013"
"Susan B. Anthony Elem","M","Asian-Vietnamese","Temporarily Doubled Up",4,"2012-2013"
"Susan B. Anthony Elem","M","Black or African American","Temporarily Doubled Up",10,"2012-2013"
"Susan B. Anthony Elem","M","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Susan B. Anthony Elem","M","Hispanic","Hotels/motels",3,"2012-2013"
"Susan B. Anthony Elem","M","Hispanic","Temporarily Doubled Up",28,"2012-2013"
"Susan B. Anthony Elem","M","White","Temporarily Doubled Up",29,"2012-2013"
"Susan B. Anthony Elem","M","White","Temporary Shelters",1,"2012-2013"
"Temescal Valley Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2012-2013"
"Temescal Valley Elem","F","Hispanic","Temporarily Doubled Up",8,"2012-2013"
"Temescal Valley Elem","F","White","Temporarily Doubled Up",5,"2012-2013"
"Temescal Valley Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2012-2013"
"Temescal Valley Elem","M","Black or African American","Temporarily Doubled Up",2,"2012-2013"
"Temescal Valley Elem","M","Hispanic","Temporarily Doubled Up",24,"2012-2013"
"Temescal Valley Elem","M","White","Temporarily Doubled Up",3,"2012-2013"
"Temescal Valley Elem","M","White","Temporarily Unsheltered",2,"2012-2013"
"Vandermolen Fundamental Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2012-2013"
"Vandermolen Fundamental Elem","F","Asian-Chinese","Temporarily Doubled Up",5,"2012-2013"
"Vandermolen Fundamental Elem","F","Asian-Korean","Temporarily Doubled Up",1,"2012-2013"
"Vandermolen Fundamental Elem","F","Asian-Laotian","Temporarily Doubled Up",2,"2012-2013"
"Vandermolen Fundamental Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2012-2013"
"Vandermolen Fundamental Elem","F","Black or African American","Temporarily Doubled Up",19,"2012-2013"
"Vandermolen Fundamental Elem","F","Filipino","Temporarily Doubled Up",1,"2012-2013"
"Vandermolen Fundamental Elem","F","Hispanic","Temporarily Doubled Up",118,"2012-2013"
"Vandermolen Fundamental Elem","F","Pac Islander-Other","Temporarily Doubled Up",2,"2012-2013"
"Vandermolen Fundamental Elem","F","White","Temporarily Doubled Up",28,"2012-2013"
"Vandermolen Fundamental Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2012-2013"
"Vandermolen Fundamental Elem","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2012-2013"
"Vandermolen Fundamental Elem","M","Asian-Chinese","Temporarily Doubled Up",5,"2012-2013"
"Vandermolen Fundamental Elem","M","Asian-Vietnamese","Temporarily Doubled Up",3,"2012-2013"
"Vandermolen Fundamental Elem","M","Black or African American","Temporarily Doubled Up",14,"2012-2013"
"Vandermolen Fundamental Elem","M","Filipino","Temporarily Doubled Up",8,"2012-2013"
"Vandermolen Fundamental Elem","M","Hispanic","Temporarily Doubled Up",115,"2012-2013"
"Vandermolen Fundamental Elem","M","Pac Islander-Hawaiian","Temporarily Doubled Up",1,"2012-2013"
"Vandermolen Fundamental Elem","M","Pac Islander-Other","Temporarily Doubled Up",2,"2012-2013"
"Vandermolen Fundamental Elem","M","White","Temporarily Doubled Up",21,"2012-2013"
"Vandermolen Fundamental Elem","M","White","Temporarily Unsheltered",1,"2012-2013"
"Vicentia Elementary","F","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"Vicentia Elementary","F","Hispanic","Temporarily Doubled Up",25,"2012-2013"
"Vicentia Elementary","F","Hispanic","Temporarily Unsheltered",1,"2012-2013"
"Vicentia Elementary","F","Pac Islander -Samoan","Temporarily Doubled Up",1,"2012-2013"
"Vicentia Elementary","F","White","Temporarily Doubled Up",2,"2012-2013"
"Vicentia Elementary","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2012-2013"
"Vicentia Elementary","M","Hispanic","Temporarily Doubled Up",35,"2012-2013"
"Vicentia Elementary","M","Hispanic","Temporarily Unsheltered",2,"2012-2013"
"Vicentia Elementary","M","Hispanic","Temporary Shelters",1,"2012-2013"
"Vicentia Elementary","M","White","Temporarily Doubled Up",5,"2012-2013"
"Vicentia Elementary","M","White","Temporary Shelters",1,"2012-2013"
"Victress Bower School","F","White","Hotels/motels",1,"2012-2013"
"Victress Bower School","M","Hispanic","Temporarily Doubled Up",2,"2012-2013"
"William McKinley Elem","F","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2012-2013"
"William McKinley Elem","F","Asian-Other","Temporarily Doubled Up",1,"2012-2013"
"William McKinley Elem","F","Asian-Vietnamese","Temporarily Doubled Up",1,"2012-2013"
"William McKinley Elem","F","Black or African American","Temporarily Doubled Up",7,"2012-2013"
"William McKinley Elem","F","Black or African American","Temporary Shelters",1,"2012-2013"
"William McKinley Elem","F","Filipino","Temporarily Doubled Up",4,"2012-2013"
"William McKinley Elem","F","Hispanic","Hotels/motels",1,"2012-2013"
"William McKinley Elem","F","Hispanic","Temporarily Doubled Up",19,"2012-2013"
"William McKinley Elem","F","Pac Islander -Samoan","Temporarily Doubled Up",1,"2012-2013"
"William McKinley Elem","F","White","Temporarily Doubled Up",4,"2012-2013"
"William McKinley Elem","M","Asian-Vietnamese","Temporarily Doubled Up",2,"2012-2013"
"William McKinley Elem","M","Black or African American","Temporarily Doubled Up",6,"2012-2013"
"William McKinley Elem","M","Filipino","Temporarily Doubled Up",1,"2012-2013"
"William McKinley Elem","M","Hispanic","Temporarily Doubled Up",35,"2012-2013"
"William McKinley Elem","M","Pac Islander -Samoan","Temporarily Doubled Up",1,"2012-2013"
"William McKinley Elem","M","White","Temporarily Doubled Up",10,"2012-2013"
"William McKinley Elem","M","White","Temporary Shelters",1,"2012-2013"
"Woodrow Wilson Elem","F","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"Woodrow Wilson Elem","F","Black or African American","Temporary Shelters",1,"2012-2013"
"Woodrow Wilson Elem","F","Hispanic","Temporarily Doubled Up",6,"2012-2013"
"Woodrow Wilson Elem","F","Pac Islander-Hawaiian","Temporarily Doubled Up",1,"2012-2013"
"Woodrow Wilson Elem","F","White","Temporarily Doubled Up",5,"2012-2013"
"Woodrow Wilson Elem","M","Black or African American","Temporarily Doubled Up",1,"2012-2013"
"Woodrow Wilson Elem","M","Hispanic","Temporarily Doubled Up",7,"2012-2013"
"Woodrow Wilson Elem","M","White","Temporarily Doubled Up",7,"2012-2013"
"Auburndale Int.","F","Black or African American","Temporarily Doubled Up",1,"2013-2014"
"Auburndale Int.","F","Hispanic","Hotels/motels",2,"2013-2014"
"Auburndale Int.","F","Hispanic","Temporarily Doubled Up",6,"2013-2014"
"Auburndale Int.","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2013-2014"
"Auburndale Int.","M","Black or African American","Temporarily Doubled Up",3,"2013-2014"
"Auburndale Int.","M","Declined to state","Hotels/motels",1,"2013-2014"
"Auburndale Int.","M","Hispanic","Temporarily Doubled Up",6,"2013-2014"
"Auburndale Int.","M","Pac Islander-Hawaiian","Hotels/motels",1,"2013-2014"
"Auburndale Int.","M","White","Temporarily Doubled Up",1,"2013-2014"
"Ben Franklin Elem","F","Asian-Other","Temporarily Doubled Up",1,"2013-2014"
"Ben Franklin Elem","F","Hispanic","Temporarily Doubled Up",9,"2013-2014"
"Ben Franklin Elem","F","White","Temporarily Doubled Up",6,"2013-2014"
"Ben Franklin Elem","M","Asian-Other","Temporarily Doubled Up",1,"2013-2014"
"Ben Franklin Elem","M","Black or African American","Temporarily Doubled Up",1,"2013-2014"
"Ben Franklin Elem","M","Hispanic","Hotels/motels",1,"2013-2014"
"Ben Franklin Elem","M","Hispanic","Temporarily Doubled Up",24,"2013-2014"
"Ben Franklin Elem","M","White","Temporarily Doubled Up",1,"2013-2014"
"Centennial High","F","Asian-Asian Indian","Temporarily Doubled Up",2,"2013-2014"
"Centennial High","F","Black or African American","Hotels/motels",2,"2013-2014"
"Centennial High","F","Black or African American","Temporarily Doubled Up",3,"2013-2014"
"Centennial High","F","Filipino","Temporarily Doubled Up",1,"2013-2014"
"Centennial High","F","Hispanic","Hotels/motels",1,"2013-2014"
"Centennial High","F","Hispanic","Temporarily Doubled Up",17,"2013-2014"
"Centennial High","F","Hispanic","Temporary Shelters",1,"2013-2014"
"Centennial High","F","White","Temporarily Doubled Up",1,"2013-2014"
"Centennial High","F","White","Temporary Shelters",1,"2013-2014"
"Centennial High","M","Asian-Other","Temporarily Doubled Up",1,"2013-2014"
"Centennial High","M","Black or African American","Temporarily Doubled Up",3,"2013-2014"
"Centennial High","M","Filipino","Temporarily Doubled Up",1,"2013-2014"
"Centennial High","M","Hispanic","Hotels/motels",1,"2013-2014"
"Centennial High","M","Hispanic","Temporarily Doubled Up",18,"2013-2014"
"Centennial High","M","White","Temporarily Doubled Up",2,"2013-2014"
"Centennial High","M","White","Temporary Shelters",1,"2013-2014"
"Cesar Chavez Academy","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2013-2014"
"Cesar Chavez Academy","F","Asian-Japanese","Temporarily Doubled Up",1,"2013-2014"
